"Start Time","Track","Series","Hosted Session Name"
"2022.03.30 12:10 AM GMT","Watkins Glen International - Boot","Hosted iRacing","MDS"



"League Name","League ID","League Season","League Season ID","Points System"
"MDS","7833","Season 2 2022 Torneo Apertura","77919","MDS Endurance"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)","League Agg Points","AI"
"1","128","Dallara P217","2523","Dallara P217","553369","553369","Nicolas Cucatto","1","14","0","Running","-00.000","18","","1:35.326","1:32.729","37","38","12","80","100","0","85","0"
"2","128","Dallara P217","2523","Dallara P217","412940","412940","Santiago Lieb","2","16","0","Running","-20.709","20","","1:35.614","1:32.309","18","38","13","67","100","0","70","0"
"3","128","Dallara P217","2523","Dallara P217","550976","550976","Fernando Dadamo","4","1","0","Running","-1:05.401","0","","1:37.047","1:33.448","15","38","10","57","100","0","58","0"
"4","128","Dallara P217","2523","Dallara P217","254024","254024","Sebastián Gallego","7","10","0","Running","-1:20.139","0","","1:37.435","1:34.284","21","38","13","50","100","0","51","0"
"5","128","Dallara P217","2523","Dallara P217","652708","652708","Tomas Anton","5","7","0","Running","-1:28.550","0","","1:37.418","1:33.513","34","38","9","44","100","0","45","0"
"6","128","Dallara P217","2523","Dallara P217","459310","459310","Ariel Pacho","3","11","0","Running","-2:18.892","0","","1:36.879","1:33.014","15","38","17","40","100","0","42","0"
"7","128","Dallara P217","2523","Dallara P217","76103","76103","Martin Facal","6","76","0","Running","-1 L","0","","1:38.524","1:33.512","28","37","9","37","100","0","38","0"
"8","132","BMW M4 GT3","2708","GT3 Class","282388","282388","Maxi Cerrella","9","13","0","Running","-3 L","0","","1:46.430","1:44.146","34","35","8","80","100","0","85","0"
"9","133","Lamborghini Huracán GT3 EVO","2708","GT3 Class","275719","275719","Marcelo Hernan","12","532","0","Running","-4 L","0","","1:47.783","1:45.331","18","34","2","67","100","0","68","0"
"10","144","Ferrari 488 GT3 Evo 2020","2708","GT3 Class","639474","639474","Luis Piloni","11","3","0","Running","-4 L","0","","1:48.169","1:45.201","25","34","9","57","100","0","59","0"
"11","73","Audi R8 LMS","2708","GT3 Class","502899","502899","Guillermo Javier Perna","13","74","0","Running","-4 L","0","","1:48.238","1:45.527","32","34","4","50","100","0","51","0"
"12","144","Ferrari 488 GT3 Evo 2020","2708","GT3 Class","267918","267918","Andres Bruno","16","9","0","Running","-4 L","0","","1:48.886","1:45.682","21","34","9","44","100","0","45","0"
"13","144","Ferrari 488 GT3 Evo 2020","2708","GT3 Class","561701","561701","Nicolas Ali","19","6","0","Running","-4 L","0","","1:48.986","1:45.677","25","34","11","40","100","0","40","0"
"14","144","Ferrari 488 GT3 Evo 2020","2708","GT3 Class","556812","556812","Ezequiel Capridi","17","12","0","Running","-5 L","0","","1:51.734","1:47.165","3","33","17","37","100","0","38","0"
"15","144","Ferrari 488 GT3 Evo 2020","2708","GT3 Class","586536","586536","Pablo Valderrama4","20","83","0","Running","-6 L","0","","1:55.091","1:45.706","32","32","29","34","100","0","34","0"
"16","144","Ferrari 488 GT3 Evo 2020","2708","GT3 Class","503429","503429","Joaquin Campiti","14","18","32","Disconnected","-11 L","0","","2:02.168","1:46.269","18","27","28","32","100","0","33","0"
"17","73","Audi R8 LMS","2708","GT3 Class","491046","491046","Gaston Maceroni","10","48","32","Disconnected","-18 L","0","","1:47.167","1:45.255","19","20","7","30","100","0","33","0"
"18","144","Ferrari 488 GT3 Evo 2020","2708","GT3 Class","533782","533782","Marcelo SA Ferraro","18","2","0","Running","-18 L","0","","1:48.501","1:47.445","13","20","9","28","100","0","29","0"
"19","128","Dallara P217","2523","Dallara P217","205901","205901","Andres Ruiz","8","21","32","Disconnected","-31 L","0","","1:36.712","1:34.817","4","7","4","34","100","0","35","0"
"20","72","Mercedes AMG GT3","2708","GT3 Class","244305","244305","Jorge Ruben Perez","15","52","32","Disconnected","-36 L","0","","1:55.269","1:46.594","2","2","3","26","100","0","27","0"
"21","72","Mercedes AMG GT3","2708","GT3 Class","270434","270434","Raul Miranda","21","17","32","Disconnected","-38 L","0","","00.000","","","0","0","0","100","0","0","0"
