"Start Time","Track","Series","Hosted Session Name"
"2022.04.06 12:10 AM GMT","Circuit de Spa-Francorchamps - Classic Pits","Hosted iRacing","MDS"



"League Name","League ID","League Season","League Season ID","Points System"
"MDS","7833","Season 2 2022 Torneo Apertura","77919","MDS Endurance"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)","League Agg Points","AI"
"1","128","Dallara P217","2523","Dallara P217","528726","528726","Nicolas Gonzalez Capriata","2","2","0","Running","-00.000","24","","2:05.830","2:02.539","12","29","15","80","100","0","83","0"
"2","128","Dallara P217","2523","Dallara P217","553369","553369","Nicolas Cucatto","3","4","0","Running","-14.324","4","","2:06.323","2:03.038","11","29","12","67","100","0","69","0"
"3","128","Dallara P217","2523","Dallara P217","550976","550976","Fernando Dadamo","5","3","0","Running","-1:24.272","0","","2:08.735","2:05.326","6","29","9","57","100","0","58","0"
"4","128","Dallara P217","2523","Dallara P217","76103","76103","Martin Facal","6","76","0","Running","-2:04.362","0","","2:08.946","2:04.945","28","29","22","50","100","0","51","0"
"5","144","Ferrari 488 GT3 Evo 2020","2708","GT3 Class","282388","282388","Maxi Cerrella","7","12","0","Running","-3 L","0","","2:20.789","2:17.358","20","26","12","80","100","0","85","0"
"6","144","Ferrari 488 GT3 Evo 2020","2708","GT3 Class","639474","639474","Luis Piloni","8","8","0","Running","-3 L","0","","2:21.106","2:17.927","26","26","10","67","100","0","70","0"
"7","133","Lamborghini Huracán GT3 EVO","2708","GT3 Class","275719","275719","Marcelo Hernan","15","532","0","Running","-3 L","0","","2:21.203","2:18.095","24","26","11","57","100","0","58","0"
"8","72","Mercedes AMG GT3","2708","GT3 Class","244305","244305","Jorge Ruben Perez","9","52","0","Running","-3 L","0","","2:21.958","2:18.778","2","26","6","50","100","0","52","0"
"9","144","Ferrari 488 GT3 Evo 2020","2708","GT3 Class","267918","267918","Andres Bruno","14","5","0","Running","-3 L","0","","2:22.753","2:19.003","22","26","10","44","100","0","45","0"
"10","72","Mercedes AMG GT3","2708","GT3 Class","270434","270434","Raul Miranda","12","15","0","Running","-3 L","0","","2:22.956","2:19.705","13","26","15","40","100","0","41","0"
"11","144","Ferrari 488 GT3 Evo 2020","2708","GT3 Class","645187","645187","Mattias Pascual","16","18","0","Running","-3 L","0","","2:22.769","2:17.825","24","26","11","37","100","0","38","0"
"12","144","Ferrari 488 GT3 Evo 2020","2708","GT3 Class","694097","694097","Juan Manuel Vita2","17","14","0","Running","-3 L","0","","2:22.972","2:18.918","12","26","15","34","100","0","34","0"
"13","73","Audi R8 LMS","2708","GT3 Class","502899","502899","Guillermo Javier Perna","18","74","0","Running","-3 L","0","","2:23.945","2:18.987","24","26","3","32","100","0","32","0"
"14","144","Ferrari 488 GT3 Evo 2020","2708","GT3 Class","533782","533782","Marcelo SA Ferraro","10","9","0","Running","-3 L","0","","2:24.119","2:19.504","24","26","17","30","100","0","31","0"
"15","144","Ferrari 488 GT3 Evo 2020","2708","GT3 Class","556812","556812","Ezequiel Capridi","13","13","0","Running","-4 L","0","","2:28.011","2:21.326","3","25","26","28","100","0","29","0"
"16","144","Ferrari 488 GT3 Evo 2020","2708","GT3 Class","561701","561701","Nicolas Ali","11","11","0","Running","-4 L","0","","2:28.270","2:19.804","10","25","35","26","100","0","27","0"
"17","128","Dallara P217","2523","Dallara P217","412940","412940","Santiago Lieb","1","16","32","Disconnected","-18 L","1","","2:05.538","2:03.240","7","11","9","44","100","0","49","0"
"18","128","Dallara P217","2523","Dallara P217","652708","652708","Tomas Anton","4","1","32","Disconnected","-27 L","0","","2:36.547","","","2","3","40","100","0","41","0"
